object_id,short_description,observing_notes,best_seen,difficulty_naked_eye,difficulty_binocular,difficulty_small_scope,difficulty_medium_scope,difficulty_large_scope
messier-M73,"M73 è un piccolo asterismo in Acquario. È un piccolo asterismo di quattro stelle, più curiosità che spettacolo. La sua presenza nel catalogo ricorda quanto fosse pratico e osservativo il lavoro di Messier.",È un oggetto da contesto: vale più per la storia del catalogo che per spettacolarità visuale.,Estate e autunno boreali (inverno e primavera australi),Non realistico,Difficile,Media,Facile,Facile
messier-M74,"M74 (Galassia Fantasma) è una galassia spirale in Pesci. La Galassia Fantasma è ampia, frontale e a bassa luminosità superficiale. È bellissima nelle immagini, ma in visuale premia solo cieli davvero bui.","La Galassia Fantasma richiede cielo senza Luna e basso ingrandimento: fissa il campo, non il nucleo, e lascia che la visione distolta raccolga il disco quasi circolare. Se appare soltanto il centro, non aumentare subito la potenza; i bracci emergono solo dopo che l'alone è stabile.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
messier-M75,"M75 è un ammasso globulare in Sagittario. È uno dei globulari più concentrati del catalogo, con un nucleo compatto e difficile da risolvere. Sembra piccolo, ma nasconde una densità notevole.",A basso ingrandimento M75 può sembrare quasi stellare per l'estrema concentrazione. Aumenta la potenza finché compare il piccolo alone; la risoluzione delle stelle resta difficile anche quando il nucleo è ben definito.,Estate e autunno boreali (inverno e primavera australi),Non realistico,Difficile,Media,Facile,Facile
messier-M76,"M76 (Piccola Nebulosa Manubrio) è una nebulosa planetaria in Perseo. La Piccola Nebulosa Manubrio è una planetaria impegnativa: piccola, debole e strutturata. Quando emerge, però, dà una soddisfazione superiore a molti oggetti più facili.","Un OIII rende subito riconoscibile la barra rettangolare di M76. Usa poi un aumento medio-alto per separarne i due nodi più luminosi; sotto un cielo molto buio, una potenza inferiore può mostrare le deboli ali che completano la forma bipolare.",Autunno boreale (primavera australe),Non realistico,Non realistico,Difficile,Media,Facile
messier-M77,"M77 (Cetus A o Galassia Calamaro) è una galassia spirale in Balena. È una galassia attiva, una Seyfert, con un nucleo energetico. All'oculare sembra una macchia compatta, ma fisicamente è un sistema molto potente.","Il nucleo molto luminoso rende M77 più facile di quanto suggerisca la magnitudine integrata: in un piccolo telescopio appare quasi stellare dentro un alone rotondo. Usa potenza medio-alta sul centro, poi torna a un campo più largo e alla visione distolta per cercare il disco esterno assai più tenue.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
messier-M78,"M78 è una nebulosa diffusa in Orione. È una nebulosa a riflessione: non brilla per gas ionizzato, ma per la luce di stelle giovani riflessa dalla polvere. Richiede soprattutto un cielo trasparente e scuro.","La trasparenza è decisiva: osservala senza filtri a banda stretta, a basso ingrandimento e sotto un cielo scuro.",Inverno boreale (estate australe),Non realistico,Difficile,Media,Facile,Facile
messier-M79,"M79 è un ammasso globulare in Lepre. È un globulare invernale insolito, lontano dai classici campi estivi della Via Lattea. In Lepre appare compatto e sorprendente sotto Orione.",M79 è un globulare invernale basso per le latitudini settentrionali. Osservalo al meridiano: un aumento medio separa il nucleo brillante dall'alone compatto e rende più evidente la sua presenza nel campo povero della Lepre.,Inverno boreale (estate australe),Non realistico,Media,Media,Facile,Facile
messier-M80,"M80 è un ammasso globulare in Scorpione. È un globulare molto denso nello Scorpione, piccolo ma intenso. Con aperture medie il bordo comincia a scintillare mentre il nucleo resta compatto.","M80 è piccolo ma molto luminoso al centro. Dopo averlo localizzato fra Antares e Acrab, usa una potenza medio-alta: il nucleo resta serrato, mentre sul bordo possono apparire fini scintillii stellari.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M81,"M81 è una grande galassia spirale dell'Orsa Maggiore, luminosa e ben concentrata. All'oculare mostra un nucleo netto immerso in un alone ovale; i bracci sono sottili e difficili, ma il contrasto con la vicina M82 rende la coppia uno dei campi extragalattici più belli del cielo. Con un campo ampio entrambe possono entrare nella stessa inquadratura.","Usa basso ingrandimento per includere M82, poi aumenta moderatamente su M81 per seguire il gradiente del nucleo e l'alone.",Primavera boreale (autunno australe),Non realistico,Media,Media,Facile,Facile
messier-M82,"M82, la Galassia Sigaro, è una galassia starburst vista di taglio e perturbata dall'interazione con M81. Il disco stretto è molto luminoso e, con aperture medie, mostra nodi e bande scure che lo spezzano in sezioni irregolari. È più ricca di dettagli visuali di molte galassie e forma una coppia memorabile con M81.","Osservala prima insieme a M81, poi usa ingrandimenti medi e visione distolta per cercare le bande scure nel disco.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Facile,Facile
messier-M83,"M83 (Galassia Girandola meridionale) è una galassia spirale barrata in Idra. La Girandola meridionale è una grande spirale barrata, splendida ma bassa per molti osservatori europei. Quando sale abbastanza, è una delle galassie più gratificanti del sud.","Con cielo limpido il nucleo di M83 è già rintracciabile in binocolo. Al telescopio parti con un campo ampio per il disco quasi frontale, poi usa potenza media e visione distolta sulle condensazioni attorno al nucleo; dall'Europa meridionale attendi il transito per ridurre l'assorbimento atmosferico.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Media,Media,Facile,Facile
messier-M84,"M84 è una galassia dell’Ammasso della Vergine classificata nelle fonti come ellittica o lenticolare. La luce delle stelle vecchie domina il corpo galattico, ma il centro ospita un buco nero supermassiccio; le immagini di Hubble rivelano anche fasce di polvere deformate.",M84 e M86 formano la porta occidentale della Catena di Markarian: tienile nello stesso campo medio-largo prima di proseguire verso le altre galassie. M84 è la condensazione più rotonda e compatta; il getto del nucleo attivo non è un dettaglio visuale realistico.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M85,"M85 è una galassia lenticolare in Chioma di Berenice. È una galassia lenticolare morbida e luminosa, nella zona della Chioma di Berenice. Non urla dettagli, ma si inserisce bene in una caccia alle galassie primaverili.","Con un campo medio inquadra M85 e la vicina NGC 4394: M85 è più grande, liscia e ovale, mentre la compagna è piccola e meno concentrata. Circa 20 cm mostrano già M85 come chiazza allungata; più potenza serve soprattutto a separare i due centri, non a trovare bracci.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M86,"M86 è una delle galassie più luminose dell’Ammasso della Vergine, spesso visibile nello stesso campo di M84. La sua classificazione oscilla tra ellittica e lenticolare. Pur appartenendo a un ammasso che nel complesso si allontana da noi, M86 si avvicina lungo la linea di vista per il proprio moto interno all’ammasso.","Osserva M86 nello stesso campo di M84 all'inizio della Catena di Markarian. M86 è più allungata e meno concentrata della compagna; con un campo ancora più largo compaiono gli Occhi NGC 4435/4438, utili per dare direzione alla sequenza di galassie.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M87,"M87 (Virgo A) è una galassia ellittica in Vergine. È una galassia ellittica gigantesca, famosa per il buco nero fotografato dall'Event Horizon Telescope. In visuale è sobria, ma concettualmente enorme.",M87 regge un ingrandimento medio-alto grazie al centro brillante: cerca un nucleo puntiforme avvolto da un alone quasi circolare che sfuma senza bordo. Il celebre getto è un'impresa da grande apertura e condizioni eccezionali; per una sessione normale il contesto dell'Ammasso della Vergine è il vero valore aggiunto.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M88,"M88 è una galassia spirale in Chioma di Berenice. È una spirale inclinata dell'ammasso della Vergine, con un nucleo evidente. Serve cielo buio per andare oltre la semplice macchia ovale.","M88 è inclinata e risponde bene a un ingrandimento medio: individua il nucleo luminoso, poi estendi con visione distolta un alone stretto e affusolato. Sotto cielo buio una delle estremità può curvarsi appena; la struttura a spirale è più plausibile qui che nelle ellittiche vicine, ma resta sottile.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M89,"M89 è una galassia ellittica in Vergine. È una ellittica quasi rotonda, poco spettacolare ma utile per capire la varietà delle galassie nella Vergine. È un oggetto da osservazione sistematica.","M89 resta una tenue sfera luminosa anche con 20 cm di apertura: il risultato realistico è distinguere il nucleo e verificare quanto l'alone sia rotondo. Usa potenza media, una carta dettagliata e brevi confronti con le stelle di campo; un cielo buio conta più di ingrandimenti estremi.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M90,"M90 (Galassia Carabin) è una galassia spirale in Vergine. È una grande spirale della Vergine con moto particolare rispetto a noi. All'oculare è delicata, ma il suo profilo allungato la rende riconoscibile.",M90 è grande ma poco contrastata: usa un ingrandimento medio-basso per riconoscere il piccolo nucleo dentro un alone lungo quasi 10′. Nel campo affollato della Vergine verifica posizione e asse con una carta; un eccesso di ingrandimento oscura l'alone prima di svelare i bracci.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M91,"M91 è una galassia spirale barrata in Chioma di Berenice. È una spirale barrata debole e storicamente problematica da identificare. Trovarla bene è già parte della soddisfazione, soprattutto sotto cielo suburbano.","M91 è una delle Messier più deboli: raggiungila da M88 con una carta precisa e usa ingrandimento medio. Il primo segnale affidabile è una condensazione centrale allungata, cioè la barra; solo sotto un cielo molto buio la visione distolta aggiunge l'alone quasi circolare dei bracci.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M92,"M92 è un ammasso globulare in Ercole. È un globulare magnifico spesso oscurato dalla fama di M13. Più compatto e antico nell'aspetto, merita una visita ogni volta che Ercole è alto.","M92 è più compatto e simmetrico del vicino M13. Inquadralo a bassa potenza, poi aumenta: il nucleo regge bene gli ingrandimenti e l'alone si divide in stelle lungo il margine.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M93,"M93 è un ammasso aperto in Poppa. È un ammasso aperto brillante nella Poppa, con una forma triangolare o a cuneo. È semplice, ma molto gradevole a bassi ingrandimenti.","A ingrandimento medio-basso le stelle principali disegnano un cuneo o ventaglio ben riconoscibile. Aumenta quanto basta per far comparire le componenti più deboli fra le file luminose, ma torna indietro se la figura triangolare esce dal campo.",Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
messier-M94,M94 (Galassia Occhio di Coccodrillo od Occhio di Gatto) è una galassia spirale in Cani da Caccia. Ha un nucleo molto luminoso circondato da strutture ad anello nelle immagini profonde. In visuale è una delle galassie più facili dei Cani da Caccia.,"M94 offre due scale diverse: a ingrandimento medio-alto il nucleo e l'anello interno formano un disco compatto e molto brillante; tornando a bassa potenza, la visione distolta può aggiungere un alone esterno assai più largo. Non scambiare il solo centro per l'intera galassia.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Facile,Facile
messier-M95,"M95 è una galassia spirale barrata in Leone. È una spirale barrata del gruppo del Leone, discreta e non immediata. Richiede cielo scuro per distinguersi bene dai compagni della zona.",In una notte limpida e scura M95 è già una macchia sfumata in un buon binocolo; al telescopio il centro e la barra richiedono potenza media e visione distolta. Un campo più largo aiuta a riconoscerla nel gruppo con M96 e M105; la struttura esterna resta compito da grande apertura.,Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
messier-M96,"M96 è una galassia spirale in Leone. È una galassia luminosa del gruppo del Leone, più accessibile di M95. Mostra un nucleo evidente e un alone morbido con strumenti medi.","Localizza M96 a campo largo insieme a M95 e M105, poi passa a un ingrandimento medio. Cerca un nucleo deciso ma non perfettamente centrato e un alone ovale più esteso su un lato; questa asimmetria è più accessibile dei singoli bracci.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Media,Facile
messier-M97,"M97 (Nebulosa Gufo) è una nebulosa planetaria in Orsa Maggiore. La Nebulosa Gufo è una planetaria ampia e tenue: gli 'occhi' sono una sfida visuale, ma anche senza vederli resta un bersaglio molto caratteristico.","M97 ha un disco ampio ma bassa luminosità superficiale: un OIII e un ingrandimento medio-basso ne rendono evidente il bordo. Solo dopo, sotto un cielo scuro, prova più potenza e visione distolta per distinguere le due cavità degli «occhi».",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
messier-M98,"M98 è una galassia spirale in Chioma di Berenice. È una spirale vista quasi di taglio, lunga e sottile. La sua luce è debole e distribuita, quindi richiede cielo pulito e visione distolta.",Cielo scuro e visione distolta aiutano a seguire il disco sottile oltre il nucleo.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M99,M99 (Ruota di Santa Caterina) è una galassia spirale in Chioma di Berenice. È una spirale frontale asimmetrica della Chioma di Berenice. Le immagini mostrano bracci spettacolari; in visuale il nucleo e l'alone sono la conquista realistica.,M99 è quasi frontale e il suo alone ha poco contrasto: usa ingrandimento medio-basso e visione distolta per staccare un disco rotondo attorno al piccolo nucleo. Con grande apertura cerca un lato più esteso e un braccio dominante; una spirale simmetrica sarebbe invece un'aspettativa sbagliata.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M100,"M100 (Galassia Specchio) è una galassia spirale in Chioma di Berenice. È una grande spirale di tipo grand design nella Vergine, elegante e famosa nelle immagini. All'oculare è tenue, ma rappresenta bene la profondità dell'ammasso.","M100 è quasi frontale: a ingrandimento medio-basso cerca prima il piccolo nucleo dentro un alone ampio e rotondo. Un'apertura maggiore può mostrare una barra corta e due rinforzi opposti, ma i bracci grand design richiedono un fondo cielo molto più scuro di quanto suggerisca la magnitudine totale.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Media,Facile
messier-M101,"M101 (Galassia Girandola) è una galassia spirale in Orsa Maggiore. La Galassia Girandola è enorme e vicina, ma a bassissima luminosità superficiale. Non perdona cieli chiari: quando appare, è una delle visioni più fini dell'Orsa Maggiore.","La magnitudine totale inganna perché la luce è diluita su quasi mezzo grado. Sotto un cielo scuro usa basso ingrandimento, rilassa lo sguardo fuori dal nucleo e cerca prima l'alone asimmetrico; aperture maggiori e pazienza possono far emergere condensazioni nei bracci.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Media,Media,Facile,Facile
messier-M102,"M102 (Galassia del fuso) è una galassia lenticolare in Dragone. La Galassia del fuso è sottile e vista di taglio, con una banda di polvere che nelle immagini la rende molto elegante. In visuale è compatta ma distinta.","M102 tollera un ingrandimento medio-alto: cerca un fuso sottile ad alta luminosità superficiale con un rigonfiamento centrale netto. In aperture maggiori e sotto un cielo trasparente, la sottile banda di polvere può incidere il lato lungo del nucleo; prima conferma sempre l'orientamento del disco.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Non realistico,Difficile,Media,Facile
messier-M103,"M103 è un ammasso aperto in Cassiopea. È un piccolo ammasso aperto in Cassiopea, facile da inserire in una scansione della Via Lattea autunnale. Non è grande, ma ha una forma raccolta e riconoscibile.",Un ingrandimento medio separa il piccolo triangolo dal ricco fondo di Cassiopea. Cerca il contrasto fra le due componenti aranciate e le stelle bianco-azzurre; a bassa potenza M103 può sembrare soltanto un addensamento della Via Lattea.,Autunno boreale (primavera australe),Non realistico,Media,Facile,Facile,Facile
messier-M104,"M104, la Galassia Sombrero, è una spirale vista quasi di taglio con un grande rigonfiamento centrale e una netta banda di polveri. Anche quando la banda non è direttamente visibile, il nucleo brillante e il profilo molto allungato le danno un aspetto caratteristico. La bassa declinazione da molte località boreali rende importante osservarla vicino alla culminazione.",Usa ingrandimenti medi e cerca l'asimmetria prodotta dalla banda di polveri lungo il bordo del rigonfiamento.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Media,Media,Facile,Facile
messier-M105,"M105 è una galassia ellittica in Leone. È la più grande ellittica del catalogo Messier, nel gruppo del Leone. Visivamente è semplice, ma racconta un ambiente galattico ricco e compatto.","Usa un campo medio-ampio per comporre M105 con NGC 3384 e NGC 3389. M105 è la luce più rotonda e concentrata, NGC 3384 è più allungata e NGC 3389 la più difficile; confrontarle è più istruttivo che cercare struttura nella superficie liscia dell'ellittica.",Primavera boreale (autunno australe),Non realistico,Difficile,Media,Media,Facile
messier-M106,"M106 è una galassia spirale in Cani da Caccia. È una spirale attiva nei Cani da Caccia, nota per emissioni energetiche e maser d'acqua. In visuale è luminosa e gratificante per una galassia.","M106 è abbastanza contrastata da mostrare a basso-medio ingrandimento un nucleo deciso e un disco lungo. Segui l'asse con visione distolta e cerca un lato più brillante; poi aumenta per il centro, sapendo che i celebri bracci anomali appartengono soprattutto alle riprese radio e in banda stretta.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Facile,Facile
messier-M107,"M107 (Ammasso Crocifisso) è un ammasso globulare in Ofiuco. È un globulare relativamente sciolto in Ofiuco, meno denso dei classici più famosi. Richiede cielo buio, ma ha un aspetto delicato e personale.","M107 è sciolto, poco brillante e attenuato dalla polvere: aspetta che l'Ofiuco sia alto. Un aumento medio mostra una trama irregolare; con troppa potenza l'alone scompare prima che il nucleo guadagni dettaglio.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M108,"M108 (Galassia della tavola da surf) è una galassia spirale barrata in Orsa Maggiore. La Galassia della tavola da surf è una spirale di taglio, lunga e sottile, vicina in cielo alla Nebulosa Gufo. È una bella prova di visione distolta.","Sotto il Grande Carro, M108 appare meglio a ingrandimento medio-basso come una tavola da surf stretta e screziata, senza un vero rigonfiamento centrale. Con almeno 20 cm prova più potenza per separare zone chiare e corsie di polvere; il vicino M97 è un utile riferimento nello stesso percorso di ricerca, non un oggetto di aspetto simile.",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
messier-M109,"M109 è una galassia spirale barrata in Orsa Maggiore, vicina a Phecda. Non è appariscente, ma è relativamente facile da localizzare e la barra centrale ne rende interessante la struttura.","Usa Phecda per trovare M109 a sud-est, ma sposta la stella brillante verso il bordo o fuori campo prima di giudicare la galassia. A ingrandimento medio-basso cerca una debole striscia; con più apertura il nucleo e la barra allungata emergono dentro un alone molto diffuso.",Primavera boreale (autunno australe),Non realistico,Non realistico,Difficile,Media,Facile
messier-M110,"M110 (Satellite di Andromeda n. 2) è una galassia ellittica nana in Andromeda. È una compagna ellittica di Andromeda, più ampia e soffusa di M32. In cieli bui completa la visione di M31 come piccolo sistema di galassie, non come oggetto isolato.","Tieni M31, M32 e M110 nello stesso campo largo: M110 è la compagna più grande ma anche la più soffusa. Cercala come un ovale allungato senza nucleo netto sul lato opposto a M32; solo dopo, con più apertura, prova a cogliere le irregolarità di polvere vicino al centro.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Facile,Facile
caldwell-C1,"C1 (NGC 188) è un ammasso aperto del Cefeo con oltre sei miliardi di anni, insolitamente antico per questa classe di oggetti. Vicino al polo nord celeste, forma un gruppo poco appariscente di stelle deboli, osservabile per gran parte dell'anno dalle latitudini boreali.",Usa un campo medio sotto cielo scuro; aumenta moderatamente per separare le molte componenti deboli dal fondo.,Autunno boreale (primavera australe),Non realistico,Media,Media,Facile,Facile
caldwell-C2,"C2 (NGC 40) è una nebulosa planetaria del Cefeo: un piccolo guscio di gas espulso da una stella ormai nelle ultime fasi della sua evoluzione. La stella centrale risalta sul gas circostante e può mascherarne il debole alone, rendendo meno immediato riconoscere la nebulosa.","C2 è piccola e la brillante stella centrale può cancellare il guscio. A ingrandimento medio alterna visione diretta e distolta; un UHC può separare meglio la nebulosità, poi rimuovilo per ricontrollare la stella.",Autunno boreale (primavera australe),Non realistico,Non realistico,Difficile,Difficile,Media
caldwell-C3,"C3 (NGC 4236) è una spirale barrata nel Dragone, con un disco ampio e molto poco contrastato. La sua luce è distribuita in un chiarore allungato: anche la regione centrale resta diffusa, senza il nucleo netto che facilita il riconoscimento di molte altre galassie.","La magnitudine totale inganna: C3 distribuisce la luce su 21′ ed è molto più elusiva di quanto sembri. Usa il minimo ingrandimento, un cielo senza velature e visione distolta per seguire una striscia larga e debolissima; il nucleo poco marcato non è un buon punto di partenza.",Primavera boreale (autunno australe),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C4,"C4 (NGC 7023), la Nebulosa Iris, è una nube a riflessione nel Cefeo. La polvere diffonde la luce della stella centrale e disegna petali azzurri nelle immagini, mentre le zone più dense assorbono la luce e delimitano la parte luminosa.","C4 è una nebulosa a riflessione: non usare filtri a banda stretta. Metti la brillante HD 200775 al centro di un campo medio-largo e, con cielo scuro, cerca l'alone azzurro e i bordi irregolari dove la polvere smorza la luce.",Estate e autunno boreali (inverno e primavera australi),Non realistico,Difficile,Media,Facile,Facile
caldwell-C5,"C5 (IC 342), la Galassia Nascosta, è una grande spirale vista quasi di fronte nella Giraffa. Gas, polvere e stelle della nostra Via Lattea ne velano il disco: la difficoltà di osservarla dipende anche da questo ostacolo in primo piano, non soltanto dalla galassia stessa.","La Galassia Nascosta è ampia ma attenuata dalla polvere della Via Lattea: attendi una notte eccezionalmente limpida e senza Luna, lontano dalle luci. Usa il più basso ingrandimento utile per trovare il nucleo, poi visione distolta e pazienza per estendere il debole disco; la foschia la cancella rapidamente.",Inverno boreale (estate australe),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C6,"C6 (NGC 6543), la Nebulosa Occhio di Gatto, è una planetaria nel Dragone con una regione interna piccola e luminosa. Attorno al nucleo, le immagini profonde rivelano gusci concentrici, getti e nodi di gas: una struttura molto più complessa del semplice disco visibile in piccoli telescopi.","Usa ingrandimenti medi o alti con seeing stabile; prova OIII per il disco, ma osserva anche senza filtro per colore e stella centrale.",Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C7,"C7 (NGC 2403) è una spirale della Giraffa con numerose regioni H II, grandi nubi di idrogeno ionizzato nelle quali nascono stelle. Il disco allungato e la distribuzione irregolare delle zone luminose ne rendono l'aspetto più vario di un semplice ovale con nucleo centrale.","C7 richiede basso ingrandimento per contenere il disco di 18′. Cerca una luce allungata e granulosa, con centro poco dominante e stelle di campo sovrapposte; in aperture maggiori NGC 2404 si distingue come nodo luminoso, mentre i bracci completi restano sfumati.",Inverno boreale (estate australe),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C8,"C8 (NGC 559) è un piccolo ammasso aperto di Cassiopea, nel settore di cielo vicino a Gamma Cassiopeiae. Molte delle stelle che formano il gruppo centrale sono deboli: la concentrazione stellare emerge meno nettamente rispetto agli ammassi più brillanti della stessa costellazione.","Cerca prima un piccolo chiarore granuloso nel fitto campo di Cassiopea, poi usa un aumento medio e almeno 100 mm di apertura per separarne le componenti più deboli. Il cielo scuro aiuta più di un filtro, che attenuerebbe anche le stelle.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C9,"C9 (Sh2-155), la Nebulosa Grotta, è una regione a emissione nel complesso di gas e polvere Cefeo B. Un arco luminoso di idrogeno ionizzato delimita l'apertura scura che le dà il nome; la nebulosità diffusa ha un contrasto basso anche sotto un cielo buio.","C9 è una nebulosa lunga e a bassissimo contrasto: usa un oculare grandangolare e cerca soprattutto il margine luminoso contro la nube scura. Un UHC può aiutare il fronte a emissione, ma cielo buio e adattamento contano più di qualsiasi ingrandimento.",Autunno boreale (primavera australe),Non realistico,Media,Media,Facile,Facile
caldwell-C10,"C10 (NGC 663) è un giovane ammasso aperto di Cassiopea, ricco di stelle calde e massicce. Le componenti più luminose sono accessibili al binocolo, ma il telescopio mostra una popolazione molto più numerosa, distribuita su un'area larga circa metà del diametro della Luna piena.",Parti a potenza medio-bassa per distinguere l'addensamento dal ricco fondo di Cassiopea; passa poi a un aumento medio per sciogliere il centro in molte stelle minute. Lascia nel campo le componenti più luminose che incorniciano il gruppo.,Autunno boreale (primavera australe),Non realistico,Media,Facile,Facile,Facile
caldwell-C11,"C11 (NGC 7635), la Nebulosa Bolla, comprende una cavità gonfiata dal vento di una stella massiccia e il gas luminoso circostante, in Cassiopea. La stella è decentrata rispetto alla bolla perché il materiale incontra resistenze diverse durante l'espansione.",Proteggi l'adattamento al buio e lascia che bordi e zone scure emergano lentamente.,Autunno boreale (primavera australe),Non realistico,Difficile,Facile,Facile,Facile
caldwell-C12,"C12 (NGC 6946), la Galassia Fuochi d'Artificio, è una spirale al confine tra Cefeo e Cigno. I bracci ricchi di formazione stellare hanno ospitato numerose supernove; la polvere della Via Lattea in primo piano attenua il disco e rende poco netta la struttura visuale.","C12 è quasi frontale e molto estesa, ma la polvere della Via Lattea ne abbassa il contrasto. Parti a basso ingrandimento dal piccolo nucleo, poi usa la visione distolta per cercare un disco irregolare e chiazze più luminose; i bracci richiedono cielo davvero trasparente.",Estate e autunno boreali (inverno e primavera australi),Non realistico,Difficile,Difficile,Media,Facile
caldwell-C13,"C13 (NGC 457) è un ammasso aperto di Cassiopea noto come Civetta o ET. Due stelle luminose ne formano gli occhi, mentre file più deboli disegnano il corpo e le ali: una figura riconoscibile che cambia orientamento con il telescopio usato.","Individua a bassa potenza i due occhi brillanti, poi sali a un ingrandimento medio per seguire le catene che formano corpo e ali. Prima di assegnare un verso alla Civetta, ricorda che diagonale e configurazione ottica possono ribaltare l'immagine.",Autunno boreale (primavera australe),Non realistico,Facile,Facile,Facile,Facile
caldwell-C14,"C14, il Doppio Ammasso di Perseo, riunisce NGC 869 e NGC 884: due gruppi vicini nel cielo, popolati da centinaia di stelle giovani e calde. A occhio nudo si fondono in una chiazza allungata; al binocolo si distinguono le due concentrazioni.",Usa binocolo o telescopio a campo molto ampio per mantenere entrambi gli ammassi nella stessa inquadratura.,Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
caldwell-C15,"C15 (NGC 6826), la Planetaria Lampeggiante del Cigno, circonda una stella centrale molto evidente con un piccolo involucro gassoso. Il caratteristico lampeggiamento è percettivo: guardando direttamente la stella la nebulosa sembra svanire, mentre spostando lo sguardo il gas riappare.","Sfrutta il comportamento che dà il nome a C15: fissando la stella centrale il guscio si attenua, mentre con la visione distolta riappare. Un OIII accentua il disco; un aumento medio-alto ne mostra meglio la forma senza cancellare l'effetto di lampeggiamento.",Estate boreale (inverno australe),Non realistico,Non realistico,Difficile,Media,Facile
caldwell-C16,"C16 (NGC 7243) è un ammasso aperto della Lucertola con una popolazione moderatamente dispersa, di età stimata intorno a 250 milioni di anni. Si trova vicino ad Alfa Lacertae e presenta stelle di luminosità diversa, distribuite in un gruppo ampio e poco serrato.","Usa poca potenza per delimitare questo ammasso rado nel campo della Lucertola e cerca i piccoli gruppi che ne compongono la sagoma irregolare. Un aumento medio separa coppie e brevi catene, ma un campo stretto ne cancella l'identità.",Autunno boreale (primavera australe),Non realistico,Facile,Facile,Facile,Facile
caldwell-C17,"C17 (NGC 147) è una galassia ellittica nana molto diffusa, satellite di Andromeda nella costellazione di Cassiopea. Visivamente forma un ampio chiarore appena allungato, con scarsa concentrazione centrale e senza un nucleo netto; proprio questo debole gradiente la rende più impegnativa della vicina C18 (NGC 185).","C17 è una sfida di contrasto: non cercare un nucleo puntiforme, ma un chiarore molto diffuso e allungato. Un cielo davvero scuro e limpido, basso ingrandimento e visione distolta sono decisivi; C18, più compatta e luminosa, offre un utile confronto.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
caldwell-C18,"C18 (NGC 185) è una galassia nana ellittica di Cassiopea, satellite di Andromeda e membro del Gruppo Locale. Rispetto alla vicina C17 mostra un centro più raccolto e rotondo; le immagini profonde rivelano anche polvere, insolita rispetto all'aspetto liscio atteso da una piccola ellittica.","Se il campo lo consente, osserva C18 insieme alla vicina C17: C18 si riconosce perché ha un centro più rotondo, compatto e facile. Con ingrandimento medio segui poi l'alone ovale, senza aspettarti che le nubi di polvere visibili nelle immagini emergano all'oculare.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
